serial_no,abandon_dt,amend_reg_dt,amend_lb_for_app_in,amend_lb_for_reg_in,amend_lb_itu_in,amend_lb_use_in,reg_cancel_cd,reg_cancel_dt,cancel_pend_in,cert_mark_in,chg_reg_in,coll_memb_mark_in,coll_serv_mark_in,coll_trade_mark_in,draw_color_cur_in,draw_color_file_in,concur_use_in,concur_use_pend_in,file_location,draw_3d_cur_in,draw_3d_file_in,exm_attorney_name,lb_use_file_in,lb_for_app_cur_in,lb_for_reg_cur_in,lb_intl_reg_cur_in,lb_for_app_file_in,lb_for_reg_file_in,lb_intl_reg_file_in,lb_none_cur_in,filing_dt,for_priority_in,lb_itu_cur_in,lb_itu_file_in,interfer_pend_in,exm_office_cd,file_location_dt,mark_draw_cd,mark_id_char,opposit_pend_in,amend_principal_in,concur_use_pub_in,publication_dt,registration_dt,renewal_dt,renewal_file_in,repub_12c_dt,repub_12c_in,incontest_ack_in,incontest_file_in,acq_dist_in,acq_dist_part_in,use_afdv_acc_in,use_afdv_file_in,use_afdv_par_acc_in,serv_mark_in,std_char_claim_in,cfh_status_cd,cfh_status_dt,amend_supp_reg_in,supp_reg_in,trade_mark_in,lb_use_cur_in,lb_none_file_in,ir_auto_reg_dt,ir_first_refus_in,ir_death_dt,ir_publication_dt,ir_registration_dt,ir_registration_no,ir_renewal_dt,ir_status_cd,ir_status_dt,ir_priority_dt,ir_priority_in,related_other_in,registration_no,tad_file_id
71318980,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,1,0,0,0,0,0,0,0,1931-09-12,0,0,0,0,000,1996-05-31,5000,EDIPHONE,0,0,0,,1932-01-05,1972-01-05,0,,0,0,0,0,0,0,0,0,0,0,900,1992-11-03,0,0,1,1,0,,,,,,,,,,,,0.0,290521,5
71321571,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1931-11-28,0,0,0,0,000,1989-09-21,1000,MARVELITE,0,0,0,,1932-07-12,1972-07-12,0,,0,0,0,0,0,0,0,0,0,0,900,1993-04-19,0,0,1,1,0,,,,,,,,,,,,,295806,5
71332645,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,GENERIC WEB UPDATE,0,0,,1,0,0,0,0,0,0,0,1932-12-01,0,0,0,0,,2023-09-30,5S07,CHANEL,0,0,0,,1933-04-25,2023-04-25,0,1969-05-06,1,1,0,0,0,1,0,0,0,0,800,2023-09-30,0,0,1,1,0,,,,,,,,,,,,0.0,302690,5
71345288,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,1,0,0,1,0,0,1933-12-23,0,0,0,0,000,1989-11-08,3000,BARBIERI APEROL APERITIVO SLFB PRODOTTI TERAPEUTICI RICOSTITUENTI S.L. FLLI. BARBIERI-PANDOVA,0,0,0,,1934-07-17,1974-07-17,0,,0,0,0,0,0,0,0,0,0,0,900,1995-04-24,0,0,1,1,0,,,,,,,,,,,,,315038,5
71349970,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,1934-04-14,0,0,0,0,000,,3000,"HILDICK APPLE JACK BRANDY OLD FASHIONED 100 PROOF STRAIGHT AGED IN WOOD NOT CUT, NOT BLENDED DISTILLED BY DISTILLED LIQUORS CORPORATION NEW YORK BOTTLED AT THE DISTILLERY",0,0,0,,1934-08-28,1974-08-28,0,,0,0,0,0,0,0,0,0,0,0,900,1995-06-05,0,0,1,1,0,,,,,,,,,,,,,316407,5
71355734,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1934-09-05,0,0,0,0,000,1989-11-03,3000,VANDERVEER STRAIGHT APPLE JACK EST 1867 100 PROOF,0,0,0,,1935-01-22,1975-01-22,0,,0,0,0,0,0,0,0,0,0,0,900,1995-10-30,0,0,1,1,0,,,,,,,,,,,,,321197,5
71359687,,,0,0,0,0,2,1985-06-13,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,0,0,0,0,0,0,0,0,1934-12-26,0,0,0,0,000,1994-03-05,1000,MARVELLA,0,0,0,,1935-06-04,,0,1975-09-02,1,0,0,0,0,0,0,0,0,0,710,1985-06-13,0,0,1,0,0,,,,,,,,,,,,,324839,5
71366616,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1935-06-25,0,0,0,0,000,2001-10-19,3000,APPLE JACK,0,0,0,,1935-11-19,1975-11-19,0,1955-11-22,1,1,0,0,0,1,0,0,0,0,900,1996-08-26,0,0,1,1,0,,,,,,,,,,,,,330162,5
71372566,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1935-12-12,0,0,0,0,000,2001-11-19,3000,GOLDEN HARVEST APPLE JELLY,0,0,0,,1936-05-05,1976-05-05,0,,0,0,0,0,0,0,0,0,0,0,900,1997-02-10,0,0,1,1,0,,,,,,,,,,,,,334544,5
71377229,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,1,0,0,1,0,0,1936-04-15,0,0,0,0,000,2001-11-30,5W23,HERMES,0,0,0,,1937-06-15,1977-06-15,0,,0,0,0,0,0,0,0,0,0,0,900,1998-03-23,0,0,1,1,0,,,,,,,,,,,,,346923,5
