case_row_id,case_number,case_number_raw,district_id,court_name,pacer_id,case_name,assigned_to,referred_to,case_cause,jurisdictional_basis,date_filed,date_closed,date_last_filed,jury_demand,demand,lead_case,related_case,settlement,case_type_1,case_type_2,case_type_3,case_type_note
13610.0,1:06-cv-01810,1:06-cv-01810-RCL,dcd,DC District Court,122892.0,ORACLE CORPORATION et al v. TEILHARD TECHNOLOGIES et al,Chief Judge Royce C. Lamberth,,28:2201 Declaratory Judgement,Federal Question,2006-10-19,2007-03-07,2010-01-13,Plaintiff,,,,,2.0,,,
13565.0,1:06-cv-01408,1:06-cv-01408-RWR,dcd,DC District Court,121974.0,"AJINOMOTO COMPANY, INC. v. NUTRASWEET COMPANY",Judge Richard W. Roberts,,28:1331 Fed. Question: Trademark,Federal Question,2006-08-08,2006-12-26,2010-01-08,,,,,,1.0,,,
13230.0,1:06-cv-00164,1:06-cv-00164-SLR,ded,Delaware District Court,36274.0,MedPointe Healthcare Inc. v. Apotex Inc. et al,Judge Sue L. Robinson,,28:1338 Patent Infringement,Federal Question,2006-03-10,2008-04-21,2010-08-13,,,,"1:07-cv-00204-SLR; 1:07-cv-00204-SLR, /cgi-bin/DktRpt.pl?38078; 1:07-cv-00407-SLR; 1:07-cv-00407-SLR, /cgi-bin/DktRpt.pl?38512; 1:09-cv-00241-SLR; 1:09-cv-00241-SLR, /cgi-bin/DktRpt.pl?42089",,1.0,,,
14151.0,1:07-cv-00512,1:07-cv-00512-SLR,ded,Delaware District Court,38772.0,Aisin Seiki Co Ltd. v. BorgWarner Inc. et al,Judge Sue L. Robinson,,35:271 Patent Infringement,Federal Question,2007-08-22,2008-03-11,2008-03-13,Plaintiff,,,"1:05-cv-00048-SLR; 1:05-cv-00048-SLR, /cgi-bin/DktRpt.pl?9365",,1.0,,,
13392.0,1:06-cv-00601,1:06-cv-00601-LPS,ded,Delaware District Court,37167.0,Laboratory Skin Care Inc. et al v. Limited Brands Inc. et al,Judge Joseph J. Farnan Jr.,Judge Leonard P. Stark,35:271 Patent Infringement,Federal Question,2006-09-26,2012-01-03,2017-07-27,Both,,,,,1.0,,,
13443.0,1:06-cv-00726,1:06-cv-00726-LPS,ded,Delaware District Court,37436.0,LG.Philips LCD Co. Ltd. v. Chi Mei Optoelectronics Corporation et al,Judge Joseph J. Farnan Jr.,,35:271 Patent Infringement,Federal Question,2006-12-01,2012-05-08,2013-09-13,Both,,,"1:05-cv-00292-JJF; 1:05-cv-00292-JJF, /cgi-bin/DktRpt.pl?34820; 1:07-cv-00357-JJF; 1:07-cv-00357-JJF, /cgi-bin/DktRpt.pl?38417; 1:07-cv-00357-LPS; 1:07-cv-00357-LPS, /cgi-bin/DktRpt.pl?38417; 1:08-cv-00355-JJF; 1:08-cv-00355-JJF, /cgi-bin/DktRpt.pl?40384; 1:10-cv-00706-LPS; 1:10-cv-00706-LPS, /cgi-bin/DktRpt.pl?44746",,1.0,,,
13948.0,1:07-cv-00017,1:07-cv-00017-GMS,ded,Delaware District Court,37585.0,Keurig Incorporated v. Kraft Foods Global Inc. et al,Judge Gregory M. Sleet,,28:1338 Patent Infringement,Federal Question,2007-01-10,2008-11-05,2009-12-30,Both,,,,,1.0,,,
14041.0,1:07-cv-00226,1:07-cv-00226-JJF,ded,Delaware District Court,38144.0,Voith Paper GMBH & Co. KG,"Judge Joseph J. Farnan, Jr.",,28:1338 Patent Infringement,Federal Question,2007-04-27,2008-07-08,2010-02-23,Both,,,"1:07-cv-00769-JJF; 1:07-cv-00769-JJF, /cgi-bin/DktRpt.pl?39364",,1.0,,,
13975.0,1:07-cv-00077,1:07-cv-00077-***-MPT,ded,Delaware District Court,37767.0,Purdue Pharma LP et al v. KV Pharmaceutical Company,,Judge Mary Pat Thynge,35:271 Patent Infringement,Federal Question,2007-02-12,2007-05-22,2007-12-20,Defendant,,,"1:07-cv-00032-***-MPT; 1:07-cv-00032-***-MPT, /cgi-bin/DktRpt.pl?37603",,1.0,,,
13389.0,1:06-cv-00593,1:06-cv-00593-JJF,ded,Delaware District Court,37159.0,3V Inc. v. CIBA Specialty Chemicals Corporation,Judge Joseph J. Farnan Jr.,,35:0146 Review of Board of Patent Appeals Decision,Federal Question,2006-09-25,2008-11-20,2008-11-21,,,,"1:06-cv-00629-JJF; 1:06-cv-00629-JJF, /cgi-bin/DktRpt.pl?37216; 1:06-cv-00672-JJF; 1:06-cv-00672-JJF, /cgi-bin/DktRpt.pl?37306",,6.0,,,
